Paper Title,Temperature,Temperature Unit,Pressure,Pressure Unit,CaCl2 Concentration,NaCl Concentration,KCl Concentration,MgCl2 Concentration,Concentration Unit,CO2 Solubility,Solubility Unit,Unconverged data (*)
Liu - 2021,353,kelvin,6.20109,MPa,0.09101649,0,0,0,mol/kg,0.617,mol/kg,
Liu - 2021,353,kelvin,8.26812,MPa,0.09101649,0,0,0,mol/kg,0.756,mol/kg,
Liu - 2021,353,kelvin,13.7903325,MPa,0.09101649,0,0,0,mol/kg,0.987,mol/kg,
Liu - 2021,353,kelvin,15.8573625,MPa,0.09101649,0,0,0,mol/kg,1.033,mol/kg,
Liu - 2021,353,kelvin,17.2353825,MPa,0.09101649,0,0,0,mol/kg,1.075,mol/kg,
Liu - 2021,353,kelvin,19.3024125,MPa,0.09101649,0,0,0,mol/kg,1.117,mol/kg,
Liu - 2021,353,kelvin,2.06703,MPa,0.137217755,0,0,0,mol/kg,0.167,mol/kg,
Liu - 2021,353,kelvin,4.13406,MPa,0.137217755,0,0,0,mol/kg,0.442,mol/kg,
Liu - 2021,353,kelvin,6.20109,MPa,0.137217755,0,0,0,mol/kg,0.611,mol/kg,
Liu - 2021,353,kelvin,8.26812,MPa,0.137217755,0,0,0,mol/kg,0.753,mol/kg,
Liu - 2021,353,kelvin,10.33515,MPa,0.137217755,0,0,0,mol/kg,0.858,mol/kg,
Liu - 2021,353,kelvin,13.7903325,MPa,0.137217755,0,0,0,mol/kg,0.978,mol/kg,
Liu - 2021,353,kelvin,15.8573625,MPa,0.137217755,0,0,0,mol/kg,1.032,mol/kg,
Liu - 2021,353,kelvin,17.2353825,MPa,0.137217755,0,0,0,mol/kg,1.065,mol/kg,
Liu - 2021,353,kelvin,19.3024125,MPa,0.137217755,0,0,0,mol/kg,1.113,mol/kg,
Liu - 2021,373,kelvin,2.06703,MPa,0.009019652,0,0,0,mol/kg,0.199,mol/kg,
Liu - 2021,373,kelvin,4.13406,MPa,0.009019652,0,0,0,mol/kg,0.386,mol/kg,
Liu - 2021,373,kelvin,6.20109,MPa,0.009019652,0,0,0,mol/kg,0.544,mol/kg,
Liu - 2021,373,kelvin,8.26812,MPa,0.009019652,0,0,0,mol/kg,0.491,mol/kg,
Liu - 2021,373,kelvin,10.33515,MPa,0.009019652,0,0,0,mol/kg,0.79,mol/kg,
Liu - 2021,373,kelvin,13.7903325,MPa,0.009019652,0,0,0,mol/kg,0.935,mol/kg,
Liu - 2021,373,kelvin,15.8573625,MPa,0.009019652,0,0,0,mol/kg,1.001,mol/kg,
Liu - 2021,373,kelvin,17.2353825,MPa,0.009019652,0,0,0,mol/kg,1.04,mol/kg,
Liu - 2021,373,kelvin,19.3024125,MPa,0.009019652,0,0,0,mol/kg,1.091,mol/kg,
Liu - 2021,373,kelvin,2.06703,MPa,0.09101649,0,0,0,mol/kg,0.198,mol/kg,
Liu - 2021,373,kelvin,4.13406,MPa,0.09101649,0,0,0,mol/kg,0.386,mol/kg,
Liu - 2021,373,kelvin,6.20109,MPa,0.09101649,0,0,0,mol/kg,0.534,mol/kg,
Liu - 2021,373,kelvin,8.26812,MPa,0.09101649,0,0,0,mol/kg,0.665,mol/kg,
Liu - 2021,373,kelvin,10.33515,MPa,0.09101649,0,0,0,mol/kg,0.775,mol/kg,
Liu - 2021,373,kelvin,13.7903325,MPa,0.09101649,0,0,0,mol/kg,0.88,mol/kg,
Liu - 2021,373,kelvin,15.8573625,MPa,0.09101649,0,0,0,mol/kg,0.983,mol/kg,
Liu - 2021,373,kelvin,17.2353825,MPa,0.09101649,0,0,0,mol/kg,1.015,mol/kg,
Liu - 2021,373,kelvin,19.3024125,MPa,0.09101649,0,0,0,mol/kg,1.064,mol/kg,
Liu - 2021,373,kelvin,2.06703,MPa,0.137217755,0,0,0,mol/kg,0.197,mol/kg,
Liu - 2021,373,kelvin,4.13406,MPa,0.137217755,0,0,0,mol/kg,0.433,mol/kg,
Liu - 2021,373,kelvin,6.20109,MPa,0.137217755,0,0,0,mol/kg,0.511,mol/kg,
Liu - 2021,373,kelvin,8.26812,MPa,0.137217755,0,0,0,mol/kg,0.658,mol/kg,
Liu - 2021,373,kelvin,10.33515,MPa,0.137217755,0,0,0,mol/kg,0.77,mol/kg,
Liu - 2021,373,kelvin,13.7903325,MPa,0.137217755,0,0,0,mol/kg,0.91,mol/kg,
Liu - 2021,373,kelvin,15.8573625,MPa,0.137217755,0,0,0,mol/kg,0.973,mol/kg,
